Professor,Courses
Diane Marie Litynski,MGMT-7240
Timothy Wei,"MANE-2060, MANE-4020, MANE-4040, MANE-4910, MANE-6990, MANE-9990"
Antonio J Morabito,"USNA-2030, USNA-2150, USNA-2170, USNA-4190"
Sang-Kee Eah,"PHYS-1100, PHYS-2620, PHYS-6900, PHYS-9990"
Dafney Amilcar-Rodriguez,"CHEM-0960, COMM-0960, MATH-0960, PHYS-0960"
Stephen Vincent Kaczkowski,"MATH-1010, MATH-6950"
Kathryn Elizabeth Rasmussen,MATH-1020
Christopher E O'Hara,"USAF-0010, USAF-0020, USAF-0030, USAF-0040, USAF-0050, USAF-0060, USAF-0070, USAF-0080, USAF-1010, USAF-1020, USAF-2030, USAF-2040, USAF-2050, USAF-2060, USAF-2070, USAF-2080"
Elizabeth A Large,"ARCH-2200, ARTS-1963, ARTS-4510, ARTS-4960, ARTS-4966, COGS-2520, COGS-4320, COGS-4520, COGS-4960, COGS-4964, COMM-1600, COMM-1961, COMM-4780, COMM-4960, COMM-4962, COMM-4963, CSCI-4520, CSCI-4969, IHSS-1610, IHSS-1964, PSYC-4962, STSH-1110, STSS-1962"
Demetrios Andreas Comodromos,"ARCH-2350, ARCH-2510, ARCH-4170, ARCH-4240, ARCH-4250, ARCH-4260, ARCH-4300, ARCH-4360, ARCH-4560, ARCH-4690, ARCH-4770, ARCH-4940, ARCH-4960, ARCH-4965, ARCH-4971, ARCH-4980, ARCH-4990, ARCH-5300, ARCH-6120, ARCH-6370, ARCH-6380, ARCH-6610, ARCH-6960, ARCH-6965, ARCH-6967"
Daniela Ivanova Kostova,"ARTS-1020, ARTS-2040, ARTS-2940"
Susan H. Fedak,ARTS-2310
Richard W. Pell,"ARTS-1020, ARTS-2040, ARTS-4060, ARTS-6990"
Georgi G. Shablovsky,"BIOL-1010, BIOL-1015, BIOL-1016, BIOL-1960"
Douglas Martin Swank,"BCBP-4470, BCBP-6470, BCBP-6940, BCBP-9990, BIOL-2930, BIOL-2941, BIOL-4080, BIOL-4110, BIOL-4120, BIOL-4130, BIOL-4250, BIOL-4270, BIOL-4470, BIOL-4941, BIOL-4980, BIOL-4990, BIOL-6470, BIOL-6510, BIOL-6520, BIOL-6900, BIOL-6970, BIOL-6990, BIOL-9990, BMED-4110, BMED-4120, BMED-4130, BMED-9990"
Eric Matthew Rutledge,"BCBP-4710, BCBP-4990, BIOL-1010, BIOL-1015, BIOL-2120, BIOL-2940, BIOL-2941, BIOL-4620, BIOL-4710, BIOL-4720, BIOL-4940, BIOL-4941, BIOL-4961, BIOL-4970, BIOL-4990, BIOL-6970, BIOL-6980, BIOL-6990, USAF-1010"
Constance E. Fritz,"BIOL-4050, BIOL-4961"
Russell J. Ferland,"BCBP-4990, BIOL-4100, BIOL-4962, BIOL-4990, BIOL-6100, BIOL-6510, BIOL-6961, BIOL-6962, BIOL-9990"
David Thomas Corr,"BIOL-6660, BIOL-6964, BMED-2940, BMED-2941, BMED-4010, BMED-4540, BMED-4600, BMED-4660, BMED-4940, BMED-4941, BMED-4960, BMED-4961, BMED-4962, BMED-4968, BMED-6660, BMED-6960, BMED-6962, BMED-6965, BMED-6980, BMED-6990, BMED-9990"
Diana Andra Borca Tasciuc,"CHME-6980, CHME-9990, ENGR-1100, ENGR-4940, MANE-2940, MANE-2941, MANE-4010, MANE-4020, MANE-4710, MANE-4730, MANE-4790, MANE-4940, MANE-4941, MANE-4963, MANE-6640, MANE-6790, MANE-6960, MANE-6961, MANE-6962, MANE-6980, MANE-6990, MANE-9990"
James G. Kempf,"BCBP-4990, BCBP-6170, BCBP-6962, BIOL-4990, CHEM-1100, CHEM-1110, CHEM-2940, CHEM-4420, CHEM-4460, CHEM-6010, CHEM-6170, CHEM-6900, CHEM-6961, CHEM-6962, CHEM-9990"
Gerard Charles Weatherby,CSCI-4210
Michael R. Foster,"CSCI-4800, MANE-2060, MATH-2400, MATH-4800, MATH-6400, MATH-6600, MATH-6620"
Fengyan Li,"CSCI-4800, CSCI-4820, CSCI-6800, CSCI-6820, CSCI-6860, MATH-1900, MATH-1910, MATH-4200, MATH-4300, MATH-4800, MATH-4820, MATH-6220, MATH-6590, MATH-6790, MATH-6800, MATH-6820, MATH-6860, MATH-6890, MATH-6980, MATH-9990"
Elliot I. Anshelevich,"CSCI-2300, CSCI-4020, CSCI-4040, CSCI-4963, CSCI-4964, CSCI-4966, CSCI-4971, CSCI-6020, CSCI-6040, CSCI-6210, CSCI-6900, CSCI-6960, CSCI-6963, CSCI-6964, CSCI-6965, CSCI-6966, CSCI-6971, CSCI-6980, CSCI-6990, CSCI-9990"
Lucy T. Zhang,"BIOL-6970, BMED-2941, BMED-4941, CIVL-4240, CIVL-6660, ENGR-1100, ENGR-2530, MANE-2710, MANE-2940, MANE-2941, MANE-4030, MANE-4040, MANE-4190, MANE-4240, MANE-4940, MANE-4941, MANE-4961, MANE-4962, MANE-6190, MANE-6660, MANE-6720, MANE-6961, MANE-6962, MANE-6964, MANE-6980, MANE-6990, MANE-9990"
Jeffrey Phillip Morris,"ENGR-1200, ENGR-1400, ENGR-1962, ENGR-2050, ESCI-9990, MANE-6980"
Daniel J. Lewis,"CHEM-1600, ENGR-1600, ENGR-2050, ISCI-1600, MTLE-2100, MTLE-2500, MTLE-4150, MTLE-4430, MTLE-4720, MTLE-4910, MTLE-4920, MTLE-4940, MTLE-4941, MTLE-4960, MTLE-4962, MTLE-6060, MTLE-6080, MTLE-6962, MTLE-6963, MTLE-6980, MTLE-6990, MTLE-9990, PHYS-1600"
James A. Reed,"ENGR-2050, ENGR-4010"
W. Scott Adams,"ENGR-2050, ENGR-4010"
Andrew I. Hunter,"ENGR-2050, ENGR-2090, MANE-2060, MANE-4020"
Dana R. Swalla,"ENGR-1600, ENGR-2050, ENGR-2250, ENGR-2530, MTLE-4910"
Kimberly A. Watson,"ERTH-2120, ERTH-2210"
Roselaine T Carignan,"EPOW-6810, EPOW-6860"
Khaled N. Salama,"BMED-4966, BMED-6967, ECSE-2010, ECSE-2050, ECSE-4965, ECSE-4966, ECSE-6967, ECSE-6968, ECSE-6990, ECSE-9990"
Renaud Pawlak,ECSE-6770
Karl Walter Grom,"LANG-2310, LANG-2962"
Sungho Choi,MGMT-2100
Jong Chool Park,"MGMT-2300, MGMT-2320, MGMT-4220, MGMT-4260, MGMT-4963, MGMT-6430, MGMT-7740"
Yawen Jiao,"MGMT-2300, MGMT-2320, MGMT-6420, MGMT-6963, MGMT-7730"
Kevin-john H. McIntyre,"MGMT-4430, MGMT-6040, MGMT-6050, MGMT-7070, MGMT-7750"
Shaojie Cui,"MGMT-4430, MGMT-4470, MGMT-6550, MGMT-6900, MGMT-6910"
Hao Zhao,"MGMT-4510, MGMT-4520, MGMT-4850, MGMT-4961, MGMT-6040, MGMT-6050, MGMT-6640, MGMT-6940, MGMT-6960, MGMT-9990"
Jason Nicholas Kuruzovich,"ITWS-2940, ITWS-4940, ITWS-6980, MGMT-2510, MGMT-2940, MGMT-4100, MGMT-4140, MGMT-4170, MGMT-4190, MGMT-4450, MGMT-4530, MGMT-4940, MGMT-4941, MGMT-4961, MGMT-4962, MGMT-4965, MGMT-4966, MGMT-4968, MGMT-6050, MGMT-6080, MGMT-6140, MGMT-6445, MGMT-6511, MGMT-6560, MGMT-6630, MGMT-6720, MGMT-6790, MGMT-6840, MGMT-6910, MGMT-6962, MGMT-6963, MGMT-6965, MGMT-6968, MGMT-6972, MGMT-9990"
Edward George O'Donovan,"MGMT-6810, MGMT-7050"
Thomas P. Turiel,"MATH-1010, MATH-1020, MATH-1520, MATH-2400, MATH-2800"
Jennifer W. Silver,MATH-1020
Ashish Nigam,MATH-2010
Margaret Durka Suchow,"MATH-1020, MATH-2010, MATH-2400"
Alison M. Stolle,MANE-2400
Matthew Adam Oehlschlaeger,"CHME-6830, ENGR-2050, ENGR-2250, ENGR-4960, MANE-2940, MANE-2941, MANE-4080, MANE-4220, MANE-4260, MANE-4750, MANE-4940, MANE-4941, MANE-4960, MANE-4962, MANE-6830, MANE-6962, MANE-6965, MANE-6970, MANE-6980, MANE-6990, MANE-9990, STSO-4960"
Sastry Ramachandra Sreepada,"ENGR-1100, ENGR-2050, MANE-4050, MANE-4380, MANE-4390, MANE-4400, MANE-4450, MANE-4720, MANE-4960, MANE-4961, MANE-6310, MANE-6360, MANE-6980"
Li Liu,"ENGR-1100, ENGR-2600, ISYE-4941, ISYE-6900, ISYE-6965, ISYE-6980, ISYE-6990, ISYE-9990, MANE-2830, MANE-2940, MANE-2941, MANE-4410, MANE-4940, MANE-4941, MANE-6390, MANE-6900, MANE-6940, MANE-6962, MANE-6968, MANE-6980, MANE-6990, MANE-9990"
Assad Anshuman Oberai,"ENGR-2090, ENGR-2250, MANE-4140, MANE-4800, MANE-4900, MANE-4963, MANE-6760, MANE-6960, MANE-6963, MANE-6964, MANE-6980, MANE-6990, MANE-9990"
Douglas O Price,"USAR-1010, USAR-1020, USAR-2010, USAR-2020, USAR-2060, USAR-2070, USAR-4010, USAR-4020"
Michael Papadopoulos,"USAR-4010, USAR-4020, USAR-4961"
John W. Chuma,"USNA-0010, USNA-0020, USNA-2020, USNA-2060, USNA-2070"
Michael Bryant Moore,"USNA-0030, USNA-0040, USNA-0050, USNA-0060, USNA-2040, USNA-2050"
Michael J Yager,"USNA-0070, USNA-0080, USNA-1010, USNA-2020"
Albert Redo Sanchez,PHYS-1100
Dean Andrew Nieusma,"ENGR-2020, ENGR-4610, ENGR-4961, IHSS-1610, IHSS-1961, IHSS-1966, IHSS-2610, STSH-1961, STSH-2963, STSH-4210, STSH-4961, STSH-4963, STSH-4967, STSS-1961, STSS-4610, STSS-4961, STSS-4963, STSS-4967, STSS-6940, STSS-6960, STSS-6961, STSS-6962, STSS-6963, STSS-6964, STSS-6966, STSS-6967, STSS-9990"
Janice S Henke,"STSS-1510, STSS-2100, STSS-2350, STSS-2400"
Ronald Helfrich,"STSH-2510, STSH-2520, STSH-4960, STSH-4963, STSS-2640, STSS-4960, STSS-4961, STSS-4963, STSS-4966"
Debbie Ann Rowe,WRIT-1110
Janice W. Fernheimer,"COMM-6260, COMM-6943, COMM-6962, IHSS-1961, WRIT-2510, WRIT-2960, WRIT-2961"
Jill L. Evans,WRIT-2510
Angela M. McNerney,"WRIT-4961, WRIT-4962, WRIT-6961, WRIT-6962"
Tracy L. Paul,"WRIT-4961, WRIT-6961"
Brandon J Freitas,"USAF-0020, USAF-0040, USAF-0060, USAF-0080, USAF-1020, USAF-2040, USAF-2060, USAF-2080"
Jeremy Paul Voorhees,ARCH-2210
Gustavo Enrique Alberto Crembil,"ARCH-1940, ARCH-2200, ARCH-2210, ARCH-2220, ARCH-2230, ARCH-2600, ARCH-2610, ARCH-2620, ARCH-2820, ARCH-2830, ARCH-2940, ARCH-4090, ARCH-4240, ARCH-4250, ARCH-4260, ARCH-4360, ARCH-4530, ARCH-4770, ARCH-4780, ARCH-4790, ARCH-4820, ARCH-4934, ARCH-4940, ARCH-4941, ARCH-4957, ARCH-4959, ARCH-4960, ARCH-4961, ARCH-4962, ARCH-4963, ARCH-4964, ARCH-4965, ARCH-4966, ARCH-4967, ARCH-4968, ARCH-4972, ARCH-4974, ARCH-4975, ARCH-4980, ARCH-4990, ARCH-6120, ARCH-6130, ARCH-6680, ARCH-6980, ARCH-6990, ARTS-4968"
Bruce E. Danziger,"ARCH-4961, ARCH-4965, CIVL-4920, CIVL-4961, CIVL-4965"
Mikolaj Szoska,"ARCH-2220, ARCH-2620, ARCH-4969"
Erik B. Carver,"ARCH-2220, ARCH-2230, ARCH-2630, ARCH-4240, ARCH-4250, ARCH-4260, ARCH-4360, ARCH-4960, ARCH-4968, ARCH-4970, ARCH-4972, ARCH-4974, ARCH-4980, ARCH-4990, ARCH-6990"
David G. Gleason,ARTS-2520
Glenn Ciolek,"ASTR-1940, ASTR-2050, ASTR-2940, ASTR-2941, ASTR-4220, ASTR-4240, ASTR-4940, ASTR-4941, ASTR-6970, PHYS-1100, PHYS-1200, PHYS-1960, PHYS-2940, PHYS-4940, PHYS-4941, PHYS-4960, PHYS-4961, PHYS-6980, PHYS-9990"
Lee Ligon,"BCBP-4990, BCBP-9990, BIOL-1010, BIOL-2900, BIOL-4260, BIOL-4970, BIOL-4990, BIOL-6260, BIOL-6510, BIOL-6520, BIOL-6900, BIOL-6920, BIOL-6930, BIOL-6965, BIOL-6970, BIOL-6990, BIOL-9990, IHSS-4960, ISCI-4960"
Xavier R. M. Intes,"BMED-2300, BMED-2941, BMED-2960, BMED-4010, BMED-4440, BMED-4940, BMED-4967, BMED-6440, BMED-6961, BMED-6962, BMED-6970, BMED-6980, BMED-6990, BMED-9990"
Marc-Olivier Coppens,"CHME-4050, CHME-4500, CHME-4962, CHME-6570, CHME-6940, CHME-6962, CHME-6980, CHME-6990, CHME-9990"
Grazyna Sroga,CHME-4160
Evelyn Constance Powell,CHEM-6800
K. V. Lakshmi,"BCBP-9990, BIOL-4990, CHEM-1100, CHEM-1200, CHEM-2941, CHEM-4140, CHEM-4420, CHEM-4710, CHEM-4900, CHEM-4940, CHEM-4941, CHEM-4961, CHEM-4962, CHEM-4964, CHEM-4968, CHEM-4990, CHEM-6140, CHEM-6710, CHEM-6900, CHEM-6940, CHEM-6961, CHEM-6962, CHEM-6964, CHEM-6968, CHEM-6990, CHEM-9990, CHME-4941, PHYS-6980, PHYS-9990"
Mark A. Changizi,"COGS-6940, COGS-6960, COGS-6962, COGS-6963, COGS-6965, COGS-6966, COGS-9990, PSYC-4320, PSYC-4965, PSYC-4966, PSYC-4968, PSYC-4990"
Konstantine Arkoudas,"CSCI-4961, CSCI-4974, PHIL-2140, PHIL-4960, PHIL-4962"
Eugene Eberbach,"CSCI-4210, CSCI-4380, CSCI-6050, CSCI-6960, CSCI-6961, CSCI-6970, CSCI-6980"
James A. Hendler,"ARTS-4960, ARTS-6965, COGS-4962, COGS-6940, COGS-6990, COGS-9990, COMM-4962, COMM-4965, CSCI-2940, CSCI-2960, CSCI-4370, CSCI-4940, CSCI-4941, CSCI-4961, CSCI-4962, CSCI-4963, CSCI-4964, CSCI-4965, CSCI-4973, CSCI-4977, CSCI-6370, CSCI-6962, CSCI-6964, CSCI-6966, CSCI-6973, CSCI-6980, CSCI-6990, CSCI-9990, IHSS-6960, ITEC-2110, ITEC-4961, ITEC-6940, ITWS-2110, ITWS-4200, ITWS-4940, ITWS-4961, ITWS-6961, ITWS-6980, STSO-4962"
Peter F. Caracappa,"ENGR-1961, ENGR-2050, MANE-1100, MANE-1961, MANE-2400, MANE-4350, MANE-4360, MANE-4370, MANE-4380, MANE-4390, MANE-4410, MANE-4470, MANE-4960, MANE-4965, MANE-6270, MANE-6350, MANE-6390, MANE-6980"
Ali Kosar,ENGR-2090
Joseph Darryl Michael,"ENGR-4300, PHYS-1100, PHYS-1101, PHYS-1110, PHYS-1200, PHYS-2160, PHYS-2350, PHYS-4160, PHYS-4161, PHYS-4962, PHYS-4963, PHYS-6980, PHYS-9990"
Adriana F. Keseru,LANG-1610
Jean Paul Freyssinier,"ARCH-1940, ARCH-2940, ARCH-4963, ARCH-4965, ARCH-4968, ARCH-6965, ARCH-6968, LGHT-4230, LGHT-4760, LGHT-4770, LGHT-4840, LGHT-4940, LGHT-4960, LGHT-6750, LGHT-6760, LGHT-6770, LGHT-6780, LGHT-6845, LGHT-6980"
Michael D. Gallagher,LGHT-6980
Shu Han,MGMT-2510
James A. Fairbrother,"MGMT-4490, MGMT-6540"
Mark O Hubbard,"ENGR-4961, MGMT-4520, MGMT-4540, MGMT-6260"
Randall George Peteros,"EMBA-6961, EMBA-6962, MGMT-6020, MGMT-6320, MGMT-6968, MGMT-7740, MGMT-7750"
Timothy E. Healy,MGMT-6100
Anupam D. Saraph,MGMT-6140
Darius Sabavala,EMBA-6962
Douglas B. Chrisey,"MTLE-4150, MTLE-4960, MTLE-4961, MTLE-6961, MTLE-6980, MTLE-6990, MTLE-9990"
Nancy Lynn Beatty,"MTLE-4250, MTLE-4960, MTLE-6430, MTLE-6960"
Adnan Ahmed Khan,MATH-2400
Weizhong Yan,MANE-4050
Michael William McDonough,"USNA-0020, USNA-0040, USNA-1010, USNA-2020, USNA-2060, USNA-2070"
Kim Michelle Lewis,"ECSE-9990, PHYS-1050, PHYS-1200, PHYS-2110, PHYS-2220, PHYS-4330, PHYS-4940, PHYS-6900, PHYS-6980, PHYS-6990, PHYS-9990"
Lauren Jenifer Montgomery Rinehart,"STSH-4800, STSS-1510, STSS-4800, STSS-4840"
Timothy J Coffey,"WRIT-1110, WRIT-2110"
Xueru Ding,"CSCI-4800, MATH-4800"
Gregory M. Sparzo,"MGMT-6620, MGMT-6680"
Analee Marlenee Miranda,MATH-1010
Oswaldo Antonio Sanchez,MATH-1020
Lily Yeung-Wagner,"USAF-0010, USAF-0020, USAF-0030, USAF-0040, USAF-0050, USAF-0060, USAF-0070, USAF-0080, USAF-1020, USAF-2040, USAF-2050, USAF-2060, USAF-2070, USAF-2080"
Ali Adibsoltani,"ARCH-2220, ARCH-2620, ARCH-4250, ARCH-4973"
Jacob R. Nishimura,"ARCH-2210, ARCH-2220, ARCH-2620, ARCH-4300, ARCH-4980, ARCH-4990, ARCH-6990"
Naji G. Moujaes,"ARCH-4240, ARCH-4260"
Hope E. Luhman,"ARCH-4660, ARCH-4670"
Kevin Michael O'Connor,ARCH-6680
Andrew W. Lynn,"ARTS-1010, ARTS-2963"
Janet L. Paluh,"BCBP-4990, BIOL-1010"
Anita Mannikarottu,"BIOL-1010, BIOL-4290"
Susan P. Gilbert,"BCBP-4760, BCBP-4990, BCBP-6968, BCBP-9990, BIOL-0060, BIOL-1010, BIOL-4050, BIOL-4110, BIOL-4760, BIOL-4970, BIOL-4990, BIOL-6510, BIOL-6520, BIOL-6920, BIOL-6930, BIOL-6940, BIOL-6965, BIOL-6967, BIOL-6968, BIOL-6970, BIOL-6990, BIOL-9990, CHEM-4760"
Peter Matthew Tessier,"BCBP-9990, CHME-2010, CHME-4150, CHME-4160, CHME-4460, CHME-4960, CHME-4961, CHME-6460, CHME-6960, CHME-6961, CHME-6990, CHME-9990"
Sebastien Helie,"COGS-6967, MATH-4961, PSYC-4968"
Nathaniel George Freier,"COMM-4966, COMM-6480, COMM-6940, COMM-6941, COMM-6960, COMM-6961, COMM-6962, COMM-6963, COMM-9990"
James Steven Lewis,CSCI-1010
Minoo Aghili Nasab,"CSCI-1100, CSCI-1190, CSCI-4150, CSCI-4380, ENGR-2350, MATH-1010, MATH-1020, MATH-2010, MATH-2400"
Sanmay Das,"CSCI-2300, CSCI-2960, CSCI-4100, CSCI-4963, CSCI-6100, CSCI-6963, CSCI-6990, CSCI-9990"
Stephen F Bush,"CSCI-4963, CSCI-4967, CSCI-6965"
Longguang Zhou,ENGR-2530
Miriam Ellen Katz,"ERTH-4070, ERTH-4200, ERTH-4500, ERTH-6200, ERTH-6940, ERTH-6980, ERTH-6990, ERTH-9990, IENV-1910, IENV-4940"
Qingbin Wang,"ECON-1200, ECON-2020"
Michael Mascarenhas,"IHSS-1968, IHSS-1979, STSH-2961, STSH-4500, STSH-4967, STSH-6963, STSS-1520, STSS-2300, STSS-4380, STSS-4500, STSS-4540, STSS-4960, STSS-4961, STSS-4964, STSS-4965, STSS-4966, STSS-4967, STSS-4968, STSS-4969, STSS-6110, STSS-6120, STSS-6960, STSS-6962, STSS-9990"
Joseph A. Carcasole,"IHSS-1969, PHIL-1110, PHIL-4220, PHIL-4240"
Karen L Schlesinger,IHSS-1979
Jack J Ishman,"LANG-1510, LANG-1520"
Jennifer A. Brons,"LGHT-4230, LGHT-6980"
Patricia A. Rizzo,"LGHT-4230, LGHT-6760, LGHT-6980"
Blaise K. Farina,"LITR-2110, WRIT-1110, WRIT-2110"
Pengfei Ye,"MGMT-2300, MGMT-2320, MGMT-4310, MGMT-4320, MGMT-4360, MGMT-6020, MGMT-6240, MGMT-6360, MGMT-6410, MGMT-6972"
Chang Y Ha,"MGMT-2320, MGMT-4320, MGMT-4340, MGMT-6020, MGMT-6380, MGMT-6960, MGMT-6962, MGMT-6972"
Margaret A McDermott,"MGMT-1100, MGMT-4430, MGMT-4450, MGMT-4550, MGMT-4900, MGMT-4961, MGMT-4962, MGMT-6720"
David A. Gautschi,"MGMT-4900, MGMT-6960, MGMT-7070"
Joseph Gerard Jenecaro,MGMT-6040
Thomas E Swarr,"MGMT-6110, MGMT-7003, MGMT-7750"
James Andrew Madison,MGMT-6170
John L Teall,"MGMT-4310, MGMT-4340, MGMT-4961, MGMT-4962, MGMT-6030, MGMT-6240, MGMT-6250, MGMT-6260, MGMT-6380, MGMT-6400, MGMT-6520, MGMT-6960, MGMT-6962, MGMT-6963, MGMT-6964, MGMT-6968, MGMT-6970, MGMT-7730"
Henry Lawrence Kurland,"MATH-2400, MATH-4100"
Maxim S Shkarayev,"MATH-2010, MATH-2400, MATH-4300"
Michael J Trinkala,"ASTR-1530, ASTR-1960, ASTR-2120, ASTR-4240, MATH-2400, PHYS-1100, PHYS-1200, PHYS-4240, PHYS-4940"
Joel T. Giedt,"ASTR-4240, PHYS-1200, PHYS-4240, PHYS-4620, PHYS-4960, PHYS-4962, PHYS-4963, PHYS-4964, PHYS-6410, PHYS-6530, PHYS-6900, PHYS-6960, PHYS-6961, PHYS-6962, PHYS-6963, PHYS-6980, PHYS-6990, PHYS-9990"
Abby J. Kinchy,"ENGR-2020, IHSS-1961, IHSS-1963, STSH-2310, STSH-2960, STSH-4980, STSH-9990, STSO-2100, STSO-4260, STSO-4300, STSO-6100, STSO-6960, STSO-6990, STSO-9990, STSS-2100, STSS-2300, STSS-2310, STSS-2960, STSS-4260, STSS-4960, STSS-4964, STSS-4969, STSS-4980, STSS-4990, STSS-6010, STSS-6020, STSS-6100, STSS-6110, STSS-6960, STSS-6961, STSS-6962, STSS-6963, STSS-6965, STSS-9990"
David Joseph Fannon,ARCH-2360
Reese J. Campbell,"ARCH-2220, ARCH-2350, ARCH-2510, ARCH-4240, ARCH-4250, ARCH-4260, ARCH-4300, ARCH-4360, ARCH-4560, ARCH-4690, ARCH-4960, ARCH-4980, ARCH-4990, ARCH-6960"
Ryuki Miyagi,"ARCH-2220, ARCH-4250, ARCH-4260"
Kyra R. Garrigue,"ARTS-1020, ARTS-2030"
Kenneth A. Ragsdale,"ARTS-1200, ARTS-2200, ARTS-2940, ARTS-2961, ARTS-4200, ARTS-4850, ARTS-4940, ARTS-4960, ARTS-6200, ARTS-6990, INQR-1060"
Todd C. Reynolds,ARTS-2020
Sabrina A. Schroeder,"ARTS-2540, ARTS-2964"
Michael P DiPaolo,ARTS-2966
Mary Jane Leach,"ARTS-2400, ARTS-4400"
Lynnell W. Radlick,"BIOL-1010, BIOL-1015, BIOL-1960"
Vesna Damljanovic,"BMED-4240, BMED-6990, BMED-9990, ENGR-1100"
Pankaj Karande,"BCBP-4940, BCBP-9990, BMED-9990, CHEM-4950, CHME-1100, CHME-2010, CHME-2020, CHME-2940, CHME-2941, CHME-4010, CHME-4150, CHME-4160, CHME-4430, CHME-4940, CHME-4941, CHME-4963, CHME-6430, CHME-6570, CHME-6963, CHME-6990, CHME-9990"
Peter Henry Dinolfo,"CHEM-1100, CHEM-1110, CHEM-2030, CHEM-2930, CHEM-2941, CHEM-2950, CHEM-4941, CHEM-4970, CHEM-4990, CHEM-6020, CHEM-6540, CHEM-6900, CHEM-6950, CHEM-6960, CHEM-6961, CHEM-6970, CHEM-6990, CHEM-9990"
Mark D. Platt,"BCBP-4990, CHEM-1100, CHEM-1110, CHEM-4110, CHEM-4990, CHEM-6140, CHEM-6900, CHEM-6961, CHEM-6970, CHEM-6990, CHEM-9990"
Philip J. Marriott,"COMM-4180, COMM-4968, COMM-6810, COMM-6968"
Andrew L. Schoch,"CSCI-1010, CSCI-2940"
Shuhui Yang,CSCI-6965
Larry Spraker,ERTH-4750
Paul R. Moon,"CSCI-1190, ECSE-2100, ECSE-2410, ECSE-2660, ECSE-4080, ECSE-4110, ECSE-4120, ECSE-4962, ECSE-6110, ECSE-6150, ECSE-6160, ECSE-6970, ENGR-2050, ENGR-2350, EPOW-4020, EPOW-6810, EPOW-6850, EPOW-6860"
Shayla Maya Sawyer,"ECSE-1010, ECSE-2010, ECSE-2900, ECSE-2940, ECSE-2941, ECSE-4900, ECSE-4941, ECSE-6230, ECSE-6290, ECSE-6990, ECSE-9990, ENGR-2300, ENGR-4300, STSO-4600"
Kim L. Boyer,"ECSE-2900, ECSE-4960, ECSE-6990, ECSE-9990"
Gregory J. Daviero,"ENVE-4180, ENVE-4310"
David L. Adkins,"MGMT-2510, MGMT-4140"
Yu Liu,"MGMT-2510, MGMT-4140"
Michael Koetter,"MGMT-4350, MGMT-6340, MGMT-6961"
William John Wales,MGMT-4520
M.V. Shyam Kumar,"BMED-6961, EMBA-6967, MGMT-1100, MGMT-4520, MGMT-4870, MGMT-6010, MGMT-6040, MGMT-6050, MGMT-6060, MGMT-6620, MGMT-6920, MGMT-6960, MGMT-6961, MGMT-6965, MGMT-6968, MGMT-7030, MGMT-7230, MGMT-7250, MGMT-7820, MGMT-9990"
John Maleyeff,"EMBA-6962, EMBA-6966, ISYE-4210, MGMT-6840"
Erin Crotty,EMBA-6964
Nag B. Patibandla,MTLE-9990
Li Chen,MATH-1010
Kari Anne Bennett,"ARCH-4961, CHEM-4620, MANE-4020, MGMT-4850, MGMT-4961, STSS-2300, STSS-4963"
Marie M. Dieffenbach,"MANE-2400, MANE-4100"
Jie Lian,"ENGR-1100, MANE-2940, MANE-2941, MANE-4370, MANE-4460, MANE-4940, MANE-4941, MANE-4961, MANE-4962, MANE-4963, MANE-6380, MANE-6980, MANE-6990, MANE-9990, MTLE-6990, MTLE-9990"
Geraldine M. Gauthier,"PHIL-4740, STSH-4320, STSS-1110"
Joan L Perras,PHYS-1100
R. Wells C. Packard,PSYC-4962
Megan J. Malone,STSS-2350
Peter A. LaVenia,"STSS-1310, STSS-4370, STSS-4840, STSS-4962, STSS-6964"
Selma Sabanovic,STSS-4540
Nicole J. Johnson,"COMM-0960, MATH-0960, PHYS-0960"
Edward James Levie,CSCI-1200
Ezra Zask,"MGMT-4961, MGMT-6961, MGMT-6962"
Nicole Anne Greaney,MATH-1020
Michael Joseph Conroy,"ADMN-4050, ARTS-2330, CHEM-1200, CSCI-4430, CSCI-4973, CSCI-6973, ECSE-2210, ECSE-2410, ENGR-1300, ENGR-2050, ENGR-4010, IHSS-1965, ISYE-4240, ISYE-4960, MANE-4030, MATH-4800, MATP-6620, MGMT-4510, MTLE-4250, PHIL-2100, PHIL-2140, PHYS-1200, PHYS-1960, PSYC-2100, USAR-0020, USAR-0040, WRIT-2310, WRIT-2320, WRIT-2330"
Clinton S Varner,"USAF-0010, USAF-0020, USAF-0030, USAF-0040, USAF-0050, USAF-0060, USAF-0070, USAF-0080, USAF-1010, USAF-1020, USAF-2050, USAF-2060"
Joshua William Hugo Draper,"ARCH-1940, ARCH-2200, ARCH-2510, ARCH-2940, ARCH-4260, ARCH-4580, ARCH-4770, ARCH-4936, ARCH-4940, ARCH-4956, ARCH-4958, ARCH-4964, ARCH-4973, ARCH-6340, ARCH-6360, ARCH-6810, ARCH-6900, ARCH-6962, ARCH-6963, ARCH-6966, ARCH-6980, ARCH-6990"
Leah Kreger,ARCH-2200
Wai Yan Chu,"ARCH-2200, ARCH-2210, ARCH-4990"
Thomas Mical,"ARCH-2110, ARCH-2140, ARCH-2210, ARCH-2220, ARCH-4040, ARCH-4140, ARCH-4250, ARCH-4260, ARCH-4966, ARCH-4980, ARCH-4990, ARCH-6990"
